id;name_building;full_address_building;number_housing_units;electricity_supplier;hydro_quebec_contract_number;hydro_quebec_meter_number;if_several_meters;specify_mete_intended;hydro_quebec_account_number;file_number;type_buillding;nature_project;start_date_work;end_date_work
1;paf tandis que;glouglou;jusque zzzz main-d’œuvre;direction direction;effectuer;en decà de innombrable équipe;false;concernant complètement;commencer en guise de prout;broum asseoir jusqu’à ce que;en outre de membre titulaire;souple loufoque paf;2024-03-12T13:39:15;2024-03-12T00:37:47
2;depuis marron effacer;décourager;dès derrière rectorat;au-dehors concurrence vroum;adorable;d'avec puisque;true;rectorat prier;atchoum énergique;de manière à ce que;là au point que sage;sympathique aussitôt que plic;2024-03-12T00:16:01;2024-03-12T01:38:08
3;certainement;deçà;juriste commis;ouf équipe sans que;souple d'entre sauf;au dépens de;false;insipide au lieu de;pin-pon;répéter;par suite de avancer procurer;diététiste cot cot;2024-03-11T22:03:01;2024-03-12T02:57:16
4;confronter;de la part de;secouriste combien;cependant foule;parce que chef de cuisine en guise de;suivant;true;cocorico;commis;oh;vis-à-vie de de la part de sale;pendant que explorer;2024-03-12T11:40:58;2024-03-12T01:01:49
5;au cas où;du côté de crac même si;aussitôt que vroum oh;turquoise favoriser;dring allonger dès que;déjà administration communauté étudiante;false;si bien que loin de édifier;sauvage;rectangulaire du moment que;naguère pourvu que quelque;direction;2024-03-11T16:14:48;2024-03-12T00:04:44
6;débile aussitôt que;à condition que timide;réjouir entre-temps;parlementaire maigre;soudain meuh lectorat;obéir;false;chut après que;police;géométrique;méditer au défaut de;du fait que;2024-03-11T19:17:08;2024-03-12T00:18:01
7;ronron bûcher;pauvre renvoyer disposer;de crainte que tandis que psitt;tant que;hé;désigner;true;extra donner;couper;multiple moderne sus;super battre;pourpre;2024-03-12T09:38:26;2024-03-12T14:47:52
8;peu ici conseil d’administration;comment tellement;désagréable propre;à l'instar de;à force de;maintenant secours;false;de façon que mourir;lunatique meuh;tant grrr égoïste;snif personnel;vers;2024-03-12T04:06:45;2024-03-11T23:05:46
9;diplomate bof;au cas où débarquer;pin-pon;bien que faire;extrêmement vétuste commis de cuisine;bè à l'entour de;false;communauté étudiante dans la mesure où convertir;entre spécialiste représenter;raccrocher après que;triathlète malade;approfondir davantage autrement;2024-03-12T11:26:10;2024-03-12T01:47:02
10;foncer d’autant que;inspecter;juriste gâcher dès;déjà agréable d'entre;autrefois préférer autant;précisément pourvoir miaou;false;certainement corps enseignant;planter;tant;sans doute;patientèle par;2024-03-12T03:18:16;2024-03-12T11:45:04
